ID,harga jual
1117,"0,00"
1121,"0,00"
1124,"48.896,78"
1125,"0,00"
1126,"0,00"
1128,"0,00"
1129,"0,00"
1130,"0,00"
1132,"21.861,45"
1133,"0,00"
1134,"121.835,54"
1135,"0,00"
1136,"0,00"
1137,"0,00"
1140,"0,00"
1141,"0,00"
1142,"0,00"
1143,"0,00"
1145,"0,00"
1146,"0,00"
1148,"23.893,45"
1149,"1.262,50"
1150,"3.226,25"
1151,"10.029,36"
1152,"2.350,91"
1153,"0,00"
1154,"0,00"
1156,"0,00"
1157,"0,00"
1158,"9.022,67"
1159,"7.753,53"
1160,"0,00"
1161,"0,00"
1162,"1.006,19"
1164,"0,00"
1165,"0,00"
1167,"0,00"
1168,"0,00"
1169,"0,00"
1170,"0,00"
1171,"129.051,50"
1172,"0,00"
1173,"0,00"
1174,"0,00"
1175,"199.038,76"
1176,"413,76"
1178,"0,00"
1179,"0,00"
1180,"0,00"
1181,"19.383,82"
1182,"2.587,20"
1183,"0,00"
1184,"0,00"
1185,"0,00"
1186,"0,00"
1189,"123.881,55"
1190,"0,00"
1192,"0,00"
1194,"0,00"
1195,"2.458,57"
1196,"0,00"
1197,"14.910,63"
1198,"1.450,15"
1199,"202.000,00"
1201,"0,00"
1202,"182.178,75"
1203,"0,00"
1204,"0,00"
1205,"0,00"
1206,"0,00"
1207,"8.499,06"
1208,"119.285,04"
1212,"0,00"
1215,"0,00"
1216,"0,00"
1217,"0,00"
1218,"437.229,00"
1219,"3.938,08"
1220,"5.344,40"
1222,"3.643,58"
1223,"0,00"
1224,"0,00"
1226,"77.075,63"
1228,"2.172,14"
1229,"5.706,50"
1230,"32.973,59"
1237,"10.031,83"
1238,"0,00"
1240,"13.419,57"
1241,"0,00"
1242,"0,00"
1243,"0,00"
1244,"0,00"
1245,"11.659,44"
1246,"0,00"
1247,"0,00"
1250,"0,00"
1257,"0,00"
1258,"0,00"
1260,"0,00"
1261,"0,00"
1263,"0,00"
1264,"40.079,33"
1265,"0,00"
1266,"871,09"
1267,"16.760,45"
1269,"144.832,11"
1270,"0,00"
1271,"0,00"
1272,"0,00"
1274,"0,00"
1275,"312.820,99"
1276,"0,00"
1277,"0,00"
1278,"0,00"
1280,"0,00"
1281,"0,00"
1283,"0,00"
1284,"0,00"
1286,"0,00"
1288,"1.626,26"
1291,"0,00"
1296,"0,00"
1297,"0,00"
1298,"0,00"
1299,"0,00"
1300,"0,00"
1301,"0,00"
1302,"0,00"
1303,"0,00"
1305,"312.820,99"
1306,"0,00"
1307,"0,00"
1308,"0,00"
1309,"45.909,05"
1311,"0,00"
1313,"0,00"
1314,"54.215,05"
1315,"0,00"
1317,"0,00"
1318,"0,00"
1319,"0,00"
1320,"0,00"
1322,"0,00"
1324,"0,00"
1328,"0,00"
1332,"2.683,91"
1333,"0,00"
1334,"0,00"
1335,"0,00"
1338,"0,00"
1342,"0,00"
1343,"0,00"
1344,"0,00"
1351,"0,00"
1355,"0,00"
1357,"0,00"
1358,"3.131,23"
1359,"0,00"
1360,"0,00"
1361,"0,00"
1362,"0,00"
1363,"0,00"
1365,"0,00"
1366,"0,00"
1376,"0,00"
1377,"0,00"
1378,"0,00"
1380,"0,00"
1381,"4.094,59"
1382,"0,00"
1384,"0,00"
1385,"18.540,22"
1387,"0,00"
1388,"0,00"
1392,"0,00"
1394,"0,00"
1395,"0,00"
1396,"0,00"
1398,"0,00"
1402,"32.319,91"
1403,"0,00"
1404,"0,00"
1405,"0,00"
1406,"0,00"
1409,"0,00"
1410,"0,00"
1411,"6.995,66"
1412,"0,00"
1415,"0,00"
1416,"25.505,03"
1417,"36.698,09"
1419,"94.732,95"
1420,"0,00"
1423,"0,00"
1427,"0,00"
1428,"34.060,69"
1429,"47.643,41"
1430,"0,00"
1431,"0,00"
1433,"6.856,09"
1437,"308,05"
1440,"0,00"
1444,"0,00"
1445,"0,00"
1446,"0,00"
1448,"2.186,23"
1449,"0,00"
1450,"0,00"
1451,"0,00"
1452,"6.709,78"
1455,"6.635,24"
1456,"0,00"
1457,"0,00"
1468,"0,00"
1473,"0,00"
1474,"0,00"
1475,"0,00"
1476,"0,00"
1477,"0,00"
1478,"0,00"
1479,"0,00"
1480,"0,00"
1481,"0,00"
1482,"0,00"
1483,"0,00"
